id,region,town,city,price,price_per_meter,area,room_count,oldness,floor_count,has_parking,has_storeroom,has_elevator,has_loan,lat,lon,updated_at
XQzQ28z_uyY=,2,saadat-abad,tehran,13000,162,80,1,5,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:10.135556+03:30
0LsmLp41fQ4=,2,saadat-abad,tehran,12700,239,53,1,8,5,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:10.473773+03:30
pog_EfrK~0I=,2,saadat-abad,tehran,32000,228,140,2,12,2,True,False,True,False,35.786326,51.381104,2023-12-02T15:42:11.140491+03:30
gkpuBV3VY5Q=,2,saadat-abad,tehran,18000,200,90,2,9,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:11.260296+03:30
EbPIgX~uffI=,2,shahrak-gharb,tehran,16800,160,105,2,8,1,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:11.293979+03:30
1twXRj4k5xA=,2,saadat-abad,tehran,11800,118,100,2,13,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:11.410472+03:30
thTNEC6~OWU=,2,shahrak-gharb,tehran,12500,130,96,2,15,3,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:11.493951+03:30
4CE9n9xAp08=,2,saadat-abad,tehran,20000,148,135,4,20,9,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:11.526734+03:30
_WHCR4bR0VI=,2,saadat-abad,tehran,75000,300,250,0,1,1,True,False,True,False,35.786326,51.381104,2023-12-02T15:42:11.593727+03:30
81RQBp~_PTo=,2,saadat-abad,tehran,20000,149,134,4,20,9,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:11.811151+03:30
lyiZeMvXqak=,2,saadat-abad,tehran,19000,200,95,2,15,5,True,False,True,False,35.786326,51.381104,2023-12-02T15:42:11.885761+03:30
wD~DnCaSPho=,2,saadat-abad,tehran,47430,310,153,2,2,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.079216+03:30
5J~DZORUD1E=,2,saadat-abad,tehran,20000,148,135,4,18,9,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.128218+03:30
kRA_L8yPRe8=,2,saadat-abad,tehran,75000,300,250,0,2,1,True,False,True,False,35.786326,51.381104,2023-12-02T15:42:12.221383+03:30
HOv6TxTq9TM=,2,saadat-abad,tehran,14950,230,65,1,10,4,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.187149+03:30
_M8j48W4q5Y=,2,saadat-abad,tehran,17520,240,73,2,8,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.342987+03:30
ItjUEUmtUdk=,2,saadat-abad,tehran,18250,250,73,2,10,4,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.507076+03:30
MdvVpA~SgDk=,2,shahrak-gharb,tehran,35000,205,170,3,4,1,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:12.507076+03:30
teAojod2eUE=,2,saadat-abad,tehran,32200,230,140,3,12,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.575885+03:30
c1AVFwddbJQ=,2,saadat-abad,tehran,26000,196,132,3,9,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:12.627247+03:30
jP2bkSdeMOc=,2,shahrak-gharb,tehran,21900,156,140,3,8,5,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:12.671528+03:30
e43DWy_9G~4=,2,saadat-abad,tehran,39000,229,170,1,3,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:13.137170+03:30
SSbFQk20YQk=,2,saadat-abad,tehran,21500,221,97,2,8,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:13.253717+03:30
npDeZlLf5N8=,2,shahrak-gharb,tehran,19000,148,128,2,20,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:13.403466+03:30
05lochmULek=,2,shahrak-gharb,tehran,19500,153,127,3,9,5,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:13.508020+03:30
dzJd2mW45TM=,2,saadat-abad,tehran,19000,200,95,2,15,5,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:13.787804+03:30
lRYAtc7Tf6w=,2,saadat-abad,tehran,27000,180,150,2,15,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:13.824531+03:30
lq3yEvO9sqM=,2,saadat-abad,tehran,16790,230,73,2,5,4,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:13.874636+03:30
bcx5iP4LP68=,2,shahrak-gharb,tehran,36000,270,133,2,30,19,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:14.021347+03:30
oTdd8Vh0v30=,2,saadat-abad,tehran,14950,230,65,2,12,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:14.084822+03:30
O~jVdQXrt3A=,2,shahrak-gharb,tehran,16200,124,130,3,18,3,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:14.523450+03:30
cpglmam7CQM=,1,dibaji,tehran,56000,164,340,4,14,4,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:14.859941+03:30
Xc4kPwwJExc=,2,shahrak-gharb,tehran,34500,246,140,3,22,22,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:14.909648+03:30
wVw68_6ViQ0=,2,shahrak-gharb,tehran,16000,123,130,3,22,5,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:14.960973+03:30
